Sample,Cr,Cu,As,Se,Cd,Sn,Pb,Rb(ug/L),Ru,Cs,Ir,V,Co,Ag,Pt,Au,Ti, Li  ,Al,Ti,Ni,Sr,Mo,Rh,Sb,Te,Ba,Hg,Zn,Ca,Fe,K,Mn,Cu,Na,P,Mg
39,0.624,11.485,0.267,2.075,0.017,0.077,0.26,5.006,0.001,0.265,0,0.05,0.05,0.05,0.173,0.09,0.003,2.156,5.957,3.333,0.264,10.294,0.077,0,0.042,0,2.576,0,5.27,11.95,1.64,247.33,16.33,54.63,53.23,125.18,16.28
40,0.328,10.42,0.175,1.543,0.01,0.029,0.36,7.58,0,0.425,0,0.02,0.028,0.028,0.091,0,0.002,0,2.018,6.678,0.143,6.137,0.052,0.003,0.021,0,1.716,0,4.22,11.68,1.89,363.91,13.04,52.55,63.36,177.95,20.92
41,0.321,15.638,0.173,0.753,0.029,0.124,0.168,4.994,0,0.174,0,0.046,0.036,0.036,0.051,0.073,0.004,1.307,195.049,2.052,0.007,4.844,0.008,0.001,0.022,0,1.543,0,3.91,7.65,2.52,289.55,14.7,75.81,42.52,155.08,17.55
42,0.325,16.254,0.067,2.366,0.015,0.089,0.319,15.166,0,3.08,0.037,0.005,0,0,0.1,0,0.006,1.969,43.474,5.206,0,5.405,0.042,0.004,0.01,0,1.717,0,4.12,6.97,2.47,337.03,16.89,73.31,46.17,168.02,19.77
43,0.647,13.245,0.36,2.541,0.02,0.135,0.445,5.377,0,0.279,0.018,0.048,0.089,0.089,0.039,0,0.001,0,85.068,4.762,0.103,7.226,0.025,0,0.03,0,2.614,0,4.91,16.91,1.97,281.06,18.15,63.24,47.7,144.69,17.7
44,0.618,13.709,0.294,3.666,0.06,0.091,0.637,8.821,0,0.273,0.035,0.064,0.108,0.108,0.133,0,0,0,9.609,4.289,0.097,16.864,0.111,0.001,0.073,0,4.4,0,5.07,16.83,2.39,274.36,30.42,69.31,68.44,138.92,18.24
45,0.531,12.581,0.223,2.638,0,0.059,1.816,5.8,0,0.397,0,0.059,0.206,0.206,0.045,0.16,0.002,0,10.214,2.813,0.196,8.723,0.11,0.002,0.034,0,2.707,0,3.97,12.93,1.61,293.68,24.57,59.41,47.65,150.72,19
46,0.776,14.115,0.288,3.11,0.014,0.091,0.916,6.486,0,0.259,0,0.032,0.076,0.076,0.094,0,0.005,0,16.007,4.272,0.122,5.008,0.102,0.004,0.025,0,1.34,0,4.48,5.98,4.81,297.28,19.18,64.22,41.66,145.56,17.05
47,1.081,12.237,0.156,2.996,0.007,0.026,0.491,8.648,0,0.375,0,0.033,0.044,0.044,0.047,0,0.008,0,2.989,3.802,0.015,6.953,0.034,0.002,0.031,0,1.999,0.002,3.63,11.2,2.15,357.44,13.51,58.53,63.87,181.61,22.25
48,0.307,8.146,0.157,1.003,0.022,0.035,0.167,8.995,0,1.015,0,0.076,0.111,0.111,0.066,0.122,0.003,0,9.393,3.562,0.134,9.83,0.065,0,0.041,0,2.935,0,2.26,13,1.1,322.9,16.87,39.13,51.28,160.49,19.84
49,0.589,16.627,0.418,9.421,0.011,0.077,0.65,3.646,0,0.19,0.018,0.016,0.023,0.023,0,0,0.002,0,9.462,6.754,0.059,5.169,0.119,0.008,0.018,0,1.798,0,3.02,6.58,3.26,367.87,19.68,69.82,51.09,177.17,20.37
50,0.574,11.489,0.39,4.475,0.008,0.055,0.702,5.459,0,0.332,0,0.038,0.129,0.129,0,0,0,0,2.279,3.885,0.23,6.62,0.067,0.001,0.047,0,2.085,0,5.42,11.54,3.97,335.42,23.31,50.98,39.8,165.56,20.24
51,0.432,13.007,0.389,3.405,0.014,0.026,0.456,7.676,0,0.416,0,0.022,0.054,0.054,0,0,0.003,0,6.71,4.016,0,5.618,0.006,0.002,0.015,0,1.675,0,4.84,9.96,2.35,333.79,13.57,62.68,47.38,167.59,19.76
52,0.444,15.515,0.267,1.635,0.026,0.073,0.941,2.637,0,0.163,0.018,0.018,0.024,0.024,0.091,0.171,0,0,35.459,4.258,0.145,5.26,0.008,0.004,0.037,0,1.616,0,4.07,6.3,2.61,343.5,16.88,67.75,52.9,186.05,20.58
53,0.476,14.992,0.2,2.738,0.026,0.021,0.398,6.129,0,0.461,0,0.051,0.101,0.101,0.042,0,0.002,0,1.699,3.596,0,6.798,0.034,0.001,0.015,0,1.799,0,5.43,9.74,1.99,308.95,14.8,69.88,58.78,162.62,19.87
54,0.76,10.213,0.224,2.734,0.029,0.064,0.692,12.492,0,0.969,0.039,0.044,0.073,0.073,0.108,0,0.003,0,7.218,4.28,0.085,5.642,0.116,0.004,0.024,0,1.863,0,4.12,10.12,1.85,344.92,20.04,49.63,61.23,170.46,19.94
55,0.372,15.204,0.126,2.683,0.012,0.063,0.27,12.567,0,0.619,0,0.047,0.084,0.084,0.054,0,0.005,0,3.168,3.983,0.054,8.549,0.072,0.012,0.059,0,2.355,0,6.17,14.67,1.88,353.97,28.96,70.71,50.98,186.15,23.31
56,0.474,16.173,0.311,4.052,0.015,0.043,0.233,7.126,0,0.453,0,0.072,0.087,0.087,0.262,0,0.006,0,5.415,5.936,0.131,6.779,0.052,0.003,0.036,0,2.26,0,6.65,9.95,2.2,333.8,24.46,77.33,71.04,165.86,19.48
57,0.767,13.522,0.196,5.835,0.028,0.03,0.297,11.855,0,0.896,0.018,0.023,0.067,0.067,0,0.087,0.005,0,7.063,5.019,0.118,6.254,0.139,0.006,0.022,0,2.101,0,6.42,9.9,2.12,354.51,21.46,62.94,62.31,172.2,20.15
58,0.281,15.603,0.176,2.367,0.001,0,0.093,3.249,0,0.073,0,0.016,0.03,0.03,0,0,0.005,0,1.286,6.128,0.016,3.257,0.082,0.004,0.01,0,1.047,0,4.86,5.93,2.99,351.89,12.6,72.8,49.7,176.88,19.67
